timestamp,lights,fan,ac_status,ac_temperature,ac_mode,heater_switch,laundry_machine,temperature,humidity,distance,season,ac_energy,ac_duration,heater_energy,heater_duration,lights_energy,lights_duration,laundry_energy,laundry_duration
2020-04-12 08:00:00,off,on,off,17.0,heat,off,off,21.6,13.8,31.4,spring,11.38,82.2,6.18,14.7,9.08,82.0,23.38,73.0
2020-04-12 12:00:00,off,off,off,18.0,heat,on,off,22.2,61.5,0.0084,spring,14.68,57.1,9.62,18.1,6.92,90.1,33.86,67.7
2020-04-12 14:00:00,off,on,off,25.0,heat,on,off,21.2,27.4,28.1,spring,18.47,119.4,9.09,19.0,2.74,49.9,19.5,155.2
2020-04-12 18:00:00,off,on,on,19.0,heat,on,off,19.4,8.1,0.0068,spring,13.16,78.6,7.4,12.9,4.9,46.2,12.59,165.1
2020-04-12 20:00:00,on,on,on,20.0,heat,on,on,19.5,94.7,0.0064,spring,26.61,94.9,5.63,27.8,10.29,283.9,27.82,132.0
2020-04-13 08:00:00,off,on,off,23.0,cool,off,off,23.6,37.4,43.2,spring,11.57,45.9,5.06,26.9,9.53,102.2,21.44,101.5
2020-04-13 12:00:00,off,on,off,24.0,heat,off,off,22.4,20.0,0.0018,spring,13.24,89.1,6.85,12.6,3.5,76.6,36.74,97.3
2020-04-13 14:00:00,off,on,off,24.0,cool,on,off,25.0,24.3,78.0,spring,27.03,121.7,9.96,25.8,5.06,41.5,27.44,157.8
2020-04-13 18:00:00,off,on,on,20.0,heat,on,off,19.1,63.8,0.0088,spring,14.33,65.8,8.04,19.9,2.27,114.6,29.7,163.0
2020-04-13 20:00:00,on,on,off,19.0,heat,on,off,22.3,62.1,7.5,spring,23.78,176.4,8.05,22.5,16.95,290.5,11.83,44.1
2020-04-14 08:00:00,off,on,off,22.0,cool,off,off,23.4,2.8,81.7,spring,10.05,76.8,8.01,29.7,4.76,41.3,26.4,155.8
2020-04-14 12:00:00,off,on,off,21.0,cool,on,off,24.9,46.5,0.0055,spring,14.9,52.5,7.38,22.7,2.77,54.5,32.34,119.3
2020-04-14 14:00:00,off,on,off,24.0,cool,on,off,24.0,46.5,69.6,spring,23.86,151.6,9.89,10.1,4.96,59.9,28.91,150.5
2020-04-14 18:00:00,off,on,on,24.0,heat,on,off,19.8,90.1,0.0009,spring,10.54,69.4,5.0,13.5,5.62,67.4,28.23,74.9
2020-04-14 20:00:00,on,off,on,18.0,heat,on,on,19.1,91.6,0.0017,spring,22.69,116.2,9.33,13.0,16.96,198.4,34.83,142.7
2020-04-15 08:00:00,off,off,off,21.0,heat,off,off,20.3,89.0,28.0,spring,8.54,82.4,8.56,16.5,2.58,46.3,20.25,91.8
2020-04-15 12:00:00,off,off,off,27.0,cool,on,off,23.9,5.8,0.0082,spring,8.91,82.9,6.54,17.9,5.39,42.2,12.95,144.2
2020-04-15 14:00:00,off,on,off,25.0,cool,off,off,24.4,4.0,30.3,spring,18.76,100.7,7.1,27.7,3.7,50.4,23.84,36.0
2020-04-15 18:00:00,off,off,off,24.0,heat,off,off,21.3,50.1,0.0009,spring,14.03,83.3,9.45,15.7,7.18,54.9,12.8,101.3
