timestamp,lights,fan,ac_status,ac_temperature,ac_mode,heater_switch,laundry_machine,temperature,humidity,distance_from_house,season,ac_energy,ac_duration,heater_energy,heater_duration,lights_energy,lights_duration,laundry_energy,laundry_duration,fan_energy,fan_duration
2020-04-12 08:00:00,off,off,off,24.0,heat,on,off,22.0,96.4,31.6,spring,10.35,61.0,7.01,18.4,2.37,40.3,27.45,144.9,2.79,114.5
2020-04-12 12:00:00,off,off,off,29.0,cool,off,off,24.8,28.9,0.0062,spring,12.93,65.0,6.06,14.1,7.35,65.2,19.82,159.0,4.15,200.1
2020-04-12 14:00:00,off,off,on,20.0,heat,off,off,18.8,24.1,56.6,spring,15.88,102.5,7.4,17.3,9.65,58.4,33.79,89.5,3.68,82.9
2020-04-12 18:00:00,off,on,off,20.0,cool,on,off,23.2,56.7,0.0068,spring,10.57,77.9,9.39,28.5,6.68,43.6,38.26,111.0,2.4,80.8
2020-04-12 20:00:00,on,off,off,20.0,heat,off,on,20.3,30.9,0.0021,spring,16.24,163.9,8.15,20.5,17.19,182.1,34.82,120.2,2.38,104.6
2020-04-13 08:00:00,off,off,off,21.0,cool,on,off,24.1,40.8,47.6,spring,11.19,52.9,6.78,24.6,2.61,81.6,27.93,88.7,3.92,73.2
2020-04-13 12:00:00,off,on,off,28.0,heat,on,off,22.8,53.7,0.0099,spring,13.76,68.1,5.28,20.0,5.0,66.5,33.26,110.4,6.6,216.1
2020-04-13 14:00:00,off,on,off,24.0,heat,off,off,21.0,67.0,70.5,spring,27.01,146.2,7.5,29.6,8.99,74.2,17.72,37.4,3.94,100.3
2020-04-13 18:00:00,off,on,off,19.0,heat,on,off,22.7,31.7,0.0015,spring,10.27,58.4,9.07,27.6,5.5,39.0,14.48,77.8,3.1,88.4
2020-04-13 20:00:00,on,off,off,17.0,heat,on,on,21.2,50.9,0.0092,spring,25.47,106.2,7.55,28.5,19.29,187.7,15.95,170.3,2.63,90.3
2020-04-14 08:00:00,off,on,off,20.0,cool,off,off,24.6,73.7,52.0,spring,10.09,67.7,8.39,15.6,6.57,83.9,11.38,87.7,3.84,109.0
2020-04-14 12:00:00,off,on,on,21.0,heat,on,off,18.8,76.7,0.0029,spring,14.18,55.6,9.24,16.8,3.88,37.4,27.57,144.2,6.03,184.6
2020-04-14 14:00:00,off,off,off,21.0,heat,on,off,21.2,83.0,92.4,spring,19.2,109.8,9.85,12.2,5.65,118.0,35.59,126.4,3.57,74.3
2020-04-14 18:00:00,off,off,off,23.0,heat,off,off,20.6,46.0,0.0037,spring,14.91,89.0,7.52,11.2,3.94,103.6,31.58,60.3,2.65,93.2
2020-04-14 20:00:00,on,on,off,24.0,cool,on,on,24.7,59.0,0.0005,spring,28.45,94.0,9.56,28.5,12.19,218.1,22.95,164.4,2.14,89.7
2020-04-15 08:00:00,off,on,off,26.0,cool,on,off,23.4,44.5,46.0,spring,14.21,60.9,7.69,11.1,5.45,67.2,19.65,35.8,2.2,67.2
2020-04-15 12:00:00,off,on,off,25.0,cool,off,off,23.5,35.0,0.0091,spring,11.37,88.9,8.0,20.2,9.57,64.7,11.17,94.6,5.63,239.1
2020-04-15 14:00:00,off,on,on,21.0,heat,off,off,19.2,27.2,51.8,spring,23.05,93.8,7.5,23.6,3.84,90.3,28.29,54.4,2.44,73.5
2020-04-15 18:00:00,off,on,off,19.0,heat,on,off,20.6,57.8,0.0062,spring,8.02,60.1,6.15,17.4,7.05,76.9,32.0,81.7,3.64,62.1
2020-04-15 20:00:00,on,off,on,16.0,heat,off,on,18.3,76.4,0.003,spring,29.34,92.5,9.94,27.3,18.18,229.7,36.14,147.2,2.66,69.7
2020-04-16 08:00:00,off,on,off,21.0,heat,off,off,21.0,59.2,50.8,spring,14.97,56.5,8.81,29.4,9.15,61.8,26.25,51.8,3.58,96.5
2020-04-16 12:00:00,off,on,off,29.0,cool,on,off,24.8,88.4,17.4,spring,8.47,48.6,5.82,20.2,7.98,33.2,11.43,67.3,5.99,234.6
2020-04-16 14:00:00,off,off,on,20.0,heat,on,off,19.4,90.8,95.0,spring,26.13,97.2,5.62,22.4,7.87,96.9,39.79,160.9,3.61,68.9
2020-04-16 18:00:00,off,off,off,22.0,heat,on,off,21.0,54.4,0.0012,spring,10.21,86.9,6.94,20.0,9.73,81.0,15.88,74.5,2.84,69.5
2020-04-16 20:00:00,on,off,off,24.0,heat,off,on,22.4,28.8,0.0092,spring,28.96,143.2,9.27,25.8,18.36,225.6,15.45,151.5,2.01,77.6
