timestamp,lights,fan,ac_status,ac_temperature,ac_mode,heater_switch,laundry_machine,temperature,humidity,distance_from_house,season,ac_energy,ac_duration,heater_energy,heater_duration,lights_energy,lights_duration,laundry_energy,laundry_duration,fan_energy,fan_duration
2020-04-12 08:00:00,on,off,off,22.0,heat,off,off,19.8,49.7,32.3,spring,12.7,78.6,6.55,16.3,3.97,38.4,32.72,31.5,3.49,64.9
2020-04-12 12:00:00,off,off,off,19.0,heat,off,off,18.9,64.0,0.003,spring,10.73,55.7,9.63,13.1,3.55,98.1,32.69,147.5,5.93,235.5
2020-04-12 14:00:00,off,on,off,23.0,heat,off,off,19.0,82.0,23.0,spring,16.58,134.4,8.92,15.6,4.89,70.4,25.89,54.5,3.83,100.2
2020-04-12 18:00:00,off,off,on,22.0,heat,on,off,21.2,82.0,0.0014,spring,9.15,51.9,5.86,26.9,4.41,82.3,37.28,178.8,2.31,101.9
2020-04-12 20:00:00,off,on,on,24.0,heat,on,on,20.1,2.0,0.0041,spring,18.11,116.4,7.4,21.2,16.14,226.1,12.55,164.4,3.67,76.9
2020-04-13 08:00:00,on,on,on,23.0,heat,off,off,22.3,44.5,59.0,spring,11.16,86.6,7.14,18.6,6.39,115.7,35.91,81.1,3.2,88.1
2020-04-13 12:00:00,off,on,on,20.0,cool,off,off,23.6,23.3,0.0034,spring,8.75,77.9,5.66,25.4,2.27,43.7,17.84,33.6,4.9,225.9
2020-04-13 14:00:00,off,on,on,24.0,cool,on,off,23.1,41.5,80.9,spring,27.91,168.8,6.85,21.2,2.04,97.1,30.61,30.4,2.73,79.1
2020-04-13 18:00:00,off,on,on,27.0,cool,off,off,24.8,66.6,0.0072,spring,9.7,56.6,7.16,19.5,6.62,119.5,36.58,153.0,3.16,101.3
2020-04-13 20:00:00,off,off,on,21.0,heat,off,on,23.0,25.1,0.0025,spring,22.78,178.8,5.43,25.9,13.73,220.8,22.56,107.7,3.99,62.8
2020-04-14 08:00:00,on,on,off,20.0,heat,on,off,18.3,17.7,29.4,spring,13.13,68.6,6.69,18.3,9.56,113.8,39.67,109.8,2.95,105.0
2020-04-14 12:00:00,off,off,on,25.0,cool,off,off,24.4,20.7,0.0054,spring,10.41,50.6,7.42,22.2,2.69,114.4,36.28,120.8,6.62,188.2
2020-04-14 14:00:00,off,off,off,19.0,heat,on,off,19.2,57.1,43.0,spring,17.62,158.4,6.5,27.1,2.79,52.7,23.12,73.8,2.76,114.4
2020-04-14 18:00:00,off,on,on,19.0,heat,on,off,21.3,65.4,0.0094,spring,10.52,69.8,6.24,15.6,5.05,71.4,22.6,137.9,2.32,101.2
2020-04-14 20:00:00,off,on,off,23.0,heat,off,on,18.4,83.9,0.0052,spring,15.32,105.1,8.13,22.7,14.6,272.7,20.58,38.1,3.56,114.1
2020-04-15 08:00:00,on,off,on,25.0,heat,on,off,20.9,89.1,69.5,spring,10.49,84.9,7.07,19.9,3.48,82.6,35.21,44.0,3.17,97.8
2020-04-15 12:00:00,off,off,on,22.0,heat,on,off,20.3,44.9,0.0058,spring,11.89,52.4,9.16,11.1,5.47,45.5,34.01,151.2,4.83,217.0
2020-04-15 14:00:00,off,off,on,22.0,cool,on,off,23.3,96.2,53.6,spring,26.98,93.0,5.12,11.4,8.31,65.4,32.64,62.8,2.02,61.1
2020-04-15 18:00:00,off,off,off,23.0,heat,on,off,19.0,23.0,0.0075,spring,14.34,56.3,6.98,11.0,4.69,85.2,26.46,47.0,3.19,63.3
2020-04-15 20:00:00,off,on,on,24.0,heat,on,on,20.7,43.7,0.0062,spring,28.52,106.0,6.78,24.4,13.75,219.4,26.1,164.8,2.79,97.5
2020-04-16 08:00:00,on,on,on,27.0,heat,off,off,21.9,44.0,46.2,spring,9.5,69.8,9.81,13.0,2.19,53.8,29.97,58.9,3.1,82.0
2020-04-16 12:00:00,off,on,off,20.0,heat,on,off,19.7,94.5,0.0014,spring,10.52,72.9,7.56,24.4,4.99,45.3,31.75,130.3,5.05,184.2
2020-04-16 14:00:00,off,off,on,19.0,heat,on,off,20.5,87.6,65.5,spring,27.38,168.1,8.13,16.3,7.94,72.9,12.33,67.6,3.77,109.8
2020-04-16 18:00:00,off,on,off,18.0,heat,on,off,18.0,75.2,0.0068,spring,9.14,54.0,6.0,11.3,5.56,66.5,31.01,133.5,3.68,95.0
2020-04-16 20:00:00,off,off,on,20.0,heat,off,on,20.5,79.5,0.0044,spring,25.61,116.9,9.85,29.5,19.81,278.9,16.65,30.0,2.64,117.1
2020-04-17 08:00:00,on,on,on,17.0,heat,on,off,21.6,73.9,89.5,spring,7.76,50.4,7.63,26.8,3.64,104.9,26.25,55.3,2.56,98.1
2020-04-17 12:00:00,off,on,off,18.0,heat,on,off,18.3,19.3,0.0017,spring,7.78,78.4,5.94,25.8,2.34,75.6,25.84,103.5,5.44,212.6
2020-04-17 14:00:00,off,on,off,23.0,heat,on,off,18.1,13.3,97.5,spring,19.41,115.5,8.76,10.1,7.86,79.6,29.19,88.4,3.26,81.2
2020-04-17 18:00:00,off,off,on,25.0,heat,off,off,21.4,39.7,0.0078,spring,12.72,62.8,8.09,12.7,2.42,51.7,21.66,89.6,3.37,75.9
2020-04-17 20:00:00,off,off,off,16.0,heat,on,on,19.0,76.4,0.0079,spring,18.33,132.0,6.99,16.2,15.66,206.5,10.88,31.7,2.91,108.3
2020-04-18 08:00:00,on,on,off,18.0,heat,off,off,18.8,88.9,80.1,spring,8.04,65.6,5.78,10.5,4.14,89.1,36.31,169.2,3.32,114.8
2020-04-18 12:00:00,off,on,off,22.0,heat,off,off,18.0,35.4,0.0081,spring,13.46,78.8,6.51,27.2,6.3,58.8,34.6,68.8,4.93,191.0
2020-04-18 14:00:00,off,on,on,20.0,heat,off,off,21.9,48.9,94.8,spring,25.09,177.4,5.33,27.8,3.72,55.6,39.33,36.7,2.43,80.7
2020-04-18 18:00:00,off,off,on,23.0,cool,on,off,23.9,65.3,0.0001,spring,10.3,66.6,9.83,10.5,8.23,54.0,15.7,46.9,2.99,75.9
2020-04-18 20:00:00,off,on,on,28.0,cool,off,on,23.6,42.7,0.003,spring,24.39,139.2,7.57,21.9,17.5,289.3,14.58,128.6,2.61,76.5
2020-04-19 08:00:00,on,off,on,25.0,cool,off,off,23.3,31.5,99.7,spring,7.56,85.3,6.69,22.9,8.39,107.3,14.36,108.6,2.47,114.6
2020-04-19 12:00:00,off,on,on,20.0,heat,on,off,21.4,39.0,0.0012,spring,9.21,79.6,9.02,22.1,3.09,47.1,33.65,164.9,5.05,196.9
2020-04-19 14:00:00,off,on,on,29.0,cool,on,off,24.3,16.1,90.5,spring,27.06,108.7,8.07,26.6,7.81,63.2,10.65,142.1,3.8,60.7
2020-04-19 18:00:00,off,on,off,18.0,heat,off,off,19.4,6.2,0.0022,spring,9.19,47.4,5.33,10.1,3.43,106.0,39.12,43.4,3.81,73.3
2020-04-19 20:00:00,off,on,on,27.0,cool,off,on,23.5,83.8,0.0089,spring,28.28,171.2,9.98,15.4,14.94,228.3,20.41,77.3,2.12,107.7
2020-04-20 08:00:00,on,off,on,25.0,heat,off,off,23.0,77.5,52.4,spring,13.63,88.2,9.03,27.1,7.96,63.1,32.45,70.5,2.92,78.0
2020-04-20 12:00:00,off,off,on,27.0,cool,on,off,23.6,83.9,0.0054,spring,10.47,53.9,9.24,25.9,2.33,102.2,39.04,62.0,5.99,192.5
2020-04-20 14:00:00,off,off,on,19.0,cool,on,off,23.2,78.2,99.9,spring,29.27,170.6,7.23,27.5,6.44,113.5,37.15,37.4,2.06,113.1
2020-04-20 18:00:00,off,off,on,26.0,cool,off,off,24.8,93.6,0.001,spring,8.3,49.0,9.72,12.6,5.4,103.5,28.8,62.7,3.11,68.2
2020-04-20 20:00:00,off,on,on,17.0,heat,on,on,20.1,91.5,0.0016,spring,22.48,163.6,9.75,28.9,11.45,194.5,39.49,173.5,3.43,92.4
2020-04-21 08:00:00,on,on,on,26.0,heat,on,off,22.1,91.5,23.3,spring,12.79,67.1,8.56,13.5,8.93,100.1,12.14,138.2,2.35,76.2
2020-04-21 12:00:00,off,off,on,27.0,cool,on,off,24.4,46.5,0.0047,spring,8.58,68.1,9.07,13.0,7.11,48.9,16.2,108.8,4.82,229.0
2020-04-21 14:00:00,off,off,on,24.0,heat,on,off,21.2,6.1,90.9,spring,29.04,113.0,8.51,24.9,7.01,59.8,18.19,133.8,3.18,111.2
2020-04-21 18:00:00,off,on,off,21.0,heat,off,off,18.4,59.0,0.0022,spring,14.68,52.5,5.01,12.3,3.76,38.8,33.36,69.0,3.72,102.3
2020-04-21 20:00:00,off,on,on,26.0,cool,off,on,23.2,0.6,0.0071,spring,27.49,99.9,8.85,10.7,16.54,235.6,21.04,179.5,3.1,93.4
2020-04-22 08:00:00,on,on,off,19.0,heat,off,off,19.6,92.0,25.7,spring,7.57,84.3,7.49,22.3,2.53,54.0,15.51,143.1,3.39,69.5
2020-04-22 12:00:00,off,off,off,21.0,heat,off,off,18.9,91.4,0.0056,spring,13.12,85.7,8.14,21.4,8.11,85.1,14.37,86.2,6.49,192.6
2020-04-22 14:00:00,off,on,off,21.0,heat,off,off,19.0,74.0,80.6,spring,27.16,104.1,8.27,10.7,2.51,94.1,34.3,62.9,2.1,106.0
2020-04-22 18:00:00,off,on,off,23.0,heat,off,off,19.2,35.3,0.0004,spring,10.8,67.1,9.16,28.9,5.02,73.5,36.75,46.9,3.84,119.9
2020-04-22 20:00:00,off,off,on,21.0,heat,on,on,21.9,15.0,0.0083,spring,28.13,108.0,8.28,15.1,12.81,288.9,35.74,139.3,3.84,63.2
2020-04-23 08:00:00,on,off,on,23.0,heat,on,off,22.9,33.4,79.5,spring,14.89,57.9,9.84,29.3,4.13,71.6,18.56,173.1,3.88,111.9
2020-04-23 12:00:00,off,on,on,25.0,cool,off,off,23.5,64.1,0.0098,spring,12.41,60.7,5.98,22.1,7.47,108.5,39.68,113.6,6.36,219.7
2020-04-23 14:00:00,off,on,on,25.0,heat,off,off,21.4,71.5,59.1,spring,17.02,174.9,8.93,21.6,2.27,77.2,26.3,130.1,3.33,81.3
2020-04-23 18:00:00,off,off,on,24.0,heat,off,off,21.3,25.9,0.0038,spring,13.28,49.2,8.41,17.8,2.48,87.9,12.09,121.6,3.09,115.5
2020-04-23 20:00:00,off,on,on,26.0,cool,off,on,24.7,30.5,0.0053,spring,15.42,112.8,5.96,19.9,16.39,234.3,25.1,124.9,2.21,73.4
2020-04-24 08:00:00,on,off,on,28.0,cool,on,off,24.4,41.4,98.2,spring,8.41,79.0,8.69,27.7,8.8,85.3,24.83,175.7,3.87,99.1
2020-04-24 12:00:00,off,on,off,18.0,heat,on,off,19.8,38.8,0.0002,spring,10.85,57.6,7.94,20.6,7.19,94.9,30.95,162.3,6.93,222.5
2020-04-24 14:00:00,off,on,on,21.0,cool,on,off,24.1,58.1,89.8,spring,29.81,148.1,9.74,26.5,2.35,94.0,22.54,39.3,3.91,95.7
2020-04-24 18:00:00,off,on,on,21.0,heat,off,off,23.0,33.2,0.0098,spring,10.09,70.3,5.1,24.0,3.63,33.8,22.94,119.7,3.91,70.5
2020-04-24 20:00:00,off,off,off,18.0,heat,on,on,19.5,4.0,0.008,spring,21.16,112.5,6.73,23.5,11.16,266.7,15.9,164.1,2.5,90.3
2020-04-25 08:00:00,on,on,on,22.0,heat,off,off,20.4,24.1,61.7,spring,8.66,85.5,9.38,12.4,4.45,69.5,37.14,146.0,2.65,101.1
2020-04-25 12:00:00,off,off,off,17.0,heat,off,off,18.8,96.5,0.0064,spring,10.58,45.8,9.28,21.0,4.49,43.7,13.98,155.0,6.52,209.9
2020-04-25 14:00:00,off,on,on,21.0,heat,on,off,21.1,69.6,29.0,spring,19.64,111.7,7.36,16.4,4.09,47.3,29.81,85.5,3.32,112.1
2020-04-25 18:00:00,off,on,on,22.0,heat,off,off,20.6,100.0,0.0068,spring,11.63,58.3,5.16,23.8,7.0,88.6,24.79,75.7,2.77,113.9
2020-04-25 20:00:00,off,on,on,22.0,cool,off,on,24.1,47.4,0.0087,spring,18.57,144.6,7.9,22.0,12.0,293.9,17.75,107.4,3.55,62.4
2020-04-26 08:00:00,on,on,off,19.0,heat,on,off,18.9,92.3,44.3,spring,11.02,76.2,8.9,12.8,9.16,58.6,10.99,138.2,2.23,75.9
2020-04-26 12:00:00,off,on,on,24.0,heat,off,off,21.7,66.8,7.5,spring,11.35,51.8,6.52,28.6,4.83,35.8,38.95,67.0,6.86,221.9
2020-04-26 14:00:00,off,on,off,19.0,heat,off,off,18.4,22.3,54.6,spring,24.62,171.3,7.64,26.0,7.2,77.8,17.28,164.5,3.2,69.9
2020-04-26 18:00:00,off,off,on,20.0,heat,off,off,22.8,82.3,0.0034,spring,8.71,68.8,8.7,13.5,5.63,33.3,38.53,47.5,3.99,61.3
2020-04-26 20:00:00,off,on,on,25.0,heat,off,on,22.2,10.5,0.0064,spring,27.12,164.0,9.15,23.3,11.21,279.9,35.46,142.5,3.05,71.6
2020-04-27 08:00:00,on,off,off,16.0,heat,on,off,18.9,50.5,39.3,spring,7.89,67.5,10.0,17.5,2.37,115.5,31.41,60.6,2.43,69.0
2020-04-27 12:00:00,off,off,on,25.0,heat,on,off,21.9,1.2,0.0029,spring,8.63,47.7,8.65,28.4,2.63,58.8,17.67,126.1,6.65,209.9
2020-04-27 14:00:00,off,on,on,24.0,heat,on,off,21.2,46.4,61.8,spring,19.21,157.9,7.72,29.4,9.39,87.5,27.99,83.5,3.77,82.4
2020-04-27 18:00:00,off,off,off,19.0,heat,off,off,19.1,9.2,0.0052,spring,12.97,87.5,6.82,15.4,4.65,80.3,22.51,99.5,2.69,116.8
2020-04-27 20:00:00,off,on,on,18.0,heat,on,on,21.3,35.3,0.0086,spring,20.45,121.5,7.38,13.5,17.88,180.3,33.81,137.0,2.03,93.9
2020-04-28 08:00:00,on,off,off,20.0,heat,on,off,18.4,31.2,87.9,spring,11.48,82.3,6.84,22.1,5.5,70.3,32.8,117.1,2.94,90.9
2020-04-28 12:00:00,off,off,on,23.0,heat,on,off,21.9,49.2,0.0086,spring,10.72,70.6,7.21,17.5,9.6,53.2,17.92,162.9,5.09,206.8
2020-04-28 14:00:00,off,off,on,23.0,cool,on,off,23.1,39.5,51.9,spring,29.64,164.2,9.55,29.2,9.54,119.8,33.3,110.9,3.76,60.7
2020-04-28 18:00:00,off,on,on,19.0,heat,on,off,21.9,12.8,13.1,spring,14.39,72.1,9.75,28.6,9.66,73.7,13.97,135.8,3.26,70.2
2020-04-28 20:00:00,off,off,off,24.0,heat,on,on,18.7,97.6,0.0001,spring,27.12,170.1,8.96,16.1,14.4,299.8,38.83,41.4,2.57,101.6
2020-04-29 08:00:00,on,on,on,28.0,cool,on,off,24.8,91.0,45.9,spring,14.46,59.0,5.09,13.6,7.76,35.9,23.2,158.9,3.69,105.6
2020-04-29 12:00:00,off,on,on,26.0,heat,on,off,21.4,25.4,0.0014,spring,10.95,73.6,6.21,11.3,8.48,111.1,28.11,120.4,4.57,215.1
2020-04-29 14:00:00,off,off,on,22.0,heat,on,off,23.0,1.8,68.5,spring,19.43,102.4,6.0,22.9,8.07,78.7,17.66,71.9,3.96,100.3
2020-04-29 18:00:00,off,off,on,21.0,heat,off,off,21.2,88.6,0.0078,spring,10.71,77.5,7.31,20.9,3.71,46.9,24.84,151.9,3.29,78.9
2020-04-29 20:00:00,off,on,off,20.0,heat,on,on,18.3,44.5,0.0074,spring,29.16,172.2,7.19,13.3,14.19,220.5,32.58,169.6,3.06,117.5
2020-04-30 08:00:00,on,on,on,29.0,cool,on,off,24.4,77.1,83.7,spring,12.67,69.1,9.14,11.3,7.27,65.3,38.53,127.4,3.52,86.4
2020-04-30 12:00:00,off,on,on,25.0,heat,on,off,22.0,52.8,0.0027,spring,10.36,85.6,7.75,18.5,3.61,34.6,19.78,45.0,6.37,200.7
2020-04-30 14:00:00,off,off,off,16.0,heat,off,off,18.0,84.1,24.9,spring,17.78,179.4,6.56,15.4,8.96,75.1,39.16,108.7,2.83,94.2
2020-04-30 18:00:00,off,on,on,18.0,heat,off,off,20.9,38.4,0.0016,spring,10.26,73.5,5.26,16.6,9.32,115.3,18.3,147.4,3.43,89.8
2020-04-30 20:00:00,off,off,off,17.0,heat,off,on,19.6,99.2,0.0027,spring,21.83,104.8,7.13,14.1,11.29,195.7,21.39,136.5,3.74,97.8
2020-05-01 08:00:00,on,on,on,18.0,heat,off,off,22.4,60.7,67.7,spring,12.22,72.7,8.75,16.0,4.97,38.3,18.89,66.3,2.16,82.9
2020-05-01 12:00:00,off,on,on,21.0,heat,on,off,20.9,45.2,0.0085,spring,8.36,87.8,9.6,24.5,5.24,85.9,28.39,38.3,4.7,203.4
2020-05-01 14:00:00,off,off,on,27.0,cool,on,off,24.2,96.7,24.8,spring,25.75,128.6,7.45,18.1,2.37,59.4,37.79,162.0,3.33,112.6
2020-05-01 18:00:00,off,on,on,21.0,cool,off,off,23.9,70.6,0.0058,spring,13.27,53.2,8.72,10.7,9.48,68.7,21.64,71.8,3.49,113.2
2020-05-01 20:00:00,off,on,on,25.0,cool,off,off,24.9,56.8,3.3,spring,17.07,166.2,5.65,23.5,16.23,286.7,12.24,59.5,2.55,104.4
2020-05-02 08:00:00,on,off,on,21.0,heat,on,off,20.3,74.4,88.9,spring,8.96,75.8,6.15,22.6,4.12,56.8,24.46,52.5,3.88,95.3
2020-05-02 12:00:00,off,off,on,23.0,heat,on,off,21.8,80.0,0.0051,spring,11.02,89.0,6.61,13.7,2.54,58.3,31.9,166.6,5.05,225.5
